Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
91,Tulelake FS,Northeast Plateau,Jan 2024,0.87, ,1.41, ,119, ,6.1,K,44.8,K,26.3, ,35.7,K,96, ,67, ,85,K,31.4,K,5.4,K,39.1,K
91,Tulelake FS,Northeast Plateau,Feb 2024,1.40, ,1.48,K,217,K,5.5, ,47.0, ,25.0, ,35.5, ,96, ,56, ,78, ,29.2, ,5.4,K,39.7,K
91,Tulelake FS,Northeast Plateau,Mar 2024,3.06, ,0.77,K,359,K,5.1,K,51.4, ,24.8, ,38.2,K,91,K,41,K,65, ,27.1, ,6.5,K,41.0,K
91,Tulelake FS,Northeast Plateau,Apr 2024,4.21, ,0.99,K,479,K,6.1, ,59.8, ,27.4, ,44.1, ,91, ,37, ,62, ,31.4, ,5.3, ,48.3, 
91,Tulelake FS,Northeast Plateau,May 2024,6.60, ,0.33,K,650,K,6.9,K,67.7,K,33.5,K,52.3,K,87,K,28,K,52, ,34.6, ,6.6,K,55.9,K
91,Tulelake FS,Northeast Plateau,Jun 2024,7.55,K,0.22, ,684, ,9.7,K,79.7, ,45.1,K,63.4, ,84, ,26, ,48,K,43.3,K,5.5,K,66.4, 
91,Tulelake FS,Northeast Plateau,Jul 2024,8.05,K,0.00, ,668,K,12.3, ,90.6,K,50.7,K,71.8,K,87, ,23, ,46,K,49.8,K,4.1, ,72.0, 
91,Tulelake FS,Northeast Plateau,Aug 2024,6.52,K,0.65,K,561, ,10.3, ,83.0,K,44.8,K,64.2,K,90, ,25, ,51,K,45.1,K,4.3,K,68.4, 
91,Tulelake FS,Northeast Plateau,Sep 2024,4.64, ,0.14,K,443,K,8.8,K,78.0,K,40.0,K,59.6,K,87,K,27,K,51, ,40.8, ,4.0,K,62.4,K
91,Tulelake FS,Northeast Plateau,Oct 2024,2.76,K,0.75, ,301, ,7.0,K,66.5, ,31.4, ,48.6, ,89, ,37, ,62,K,35.2,K,3.5, ,53.6, 
91,Tulelake FS,Northeast Plateau,Nov 2024,0.94, ,1.77,K,146, ,5.5,K,44.1,K,25.9, ,34.7, ,94, ,62, ,81,K,29.1,K,5.5,K,42.3, 
91,Tulelake FS,Northeast Plateau,Dec 2024,0.71,K,2.26, ,122, ,5.7,K,44.7,K,24.5, ,33.8, ,96,K,65,K,85, ,29.7, ,4.5,K,37.2,K
91,Tulelake FS,Northeast Plateau,Jan 2025,1.11, ,0.41, ,190, ,4.4, ,46.6, ,18.0, ,30.8, ,91, ,47, ,72, ,22.5, ,3.8, ,35.2,K
91,Tulelake FS,Northeast Plateau,Feb 2025,1.25,K,3.41,K,257,K,4.7,K,38.7,K,18.1,L,32.4,L,95,K,71,K,86,L,28.5,L,3.7, ,33.7, 
99,Santa Monica,Los Angeles Basin,Jan 2024,2.72,K,0.21,K,492,L,6.9,L,66.4,L,50.6,L,57.5,L,71,L,35,L,51,L,38.4,L,2.9,K,53.9,L
99,Santa Monica,Los Angeles Basin,Feb 2024,2.22, ,15.83,K,299,K,10.6, ,62.5, ,49.4, ,55.1, ,84, ,57, ,72, ,45.5, ,3.6, ,56.9, 
99,Santa Monica,Los Angeles Basin,Mar 2024,4.02, ,5.65, ,473,K,10.8,K,63.9, ,49.3, ,56.1, ,86, ,54, ,70,K,46.2,K,4.2,K,59.5, 
99,Santa Monica,Los Angeles Basin,Apr 2024,4.64, ,0.60,K,551,K,11.4, ,65.3, ,50.3, ,57.4, ,86, ,55, ,71, ,47.6, ,3.9, ,61.9, 
99,Santa Monica,Los Angeles Basin,May 2024,4.57, ,0.15,K,529,K,13.2,K,65.4, ,54.1, ,59.1,K,88,K,65,K,77, ,51.8, ,3.9,K,66.1,K
99,Santa Monica,Los Angeles Basin,Jun 2024,5.22, ,0.01, ,576, ,15.9, ,70.8,K,58.3, ,63.7, ,90, ,67, ,79, ,57.1, ,3.6, ,70.4,L
99,Santa Monica,Los Angeles Basin,Jul 2024,6.13, ,0.00, ,638, ,17.6,K,74.5, ,60.6,K,66.3, ,91, ,67, ,80,K,59.9,K,3.5, ,78.9,L
99,Santa Monica,Los Angeles Basin,Aug 2024,6.16, ,0.00, ,616, ,17.8, ,77.1, ,61.4, ,68.2, ,89, ,62, ,76, ,60.2, ,3.6, ,74.8,K
99,Santa Monica,Los Angeles Basin,Sep 2024,4.52,K,0.00,K,482,K,16.8,K,75.6,K,60.7,K,67.2,K,87,K,61,K,76,L,58.5,L,3.4,K,76.4,L
99,Santa Monica,Los Angeles Basin,Oct 2024,3.51, ,0.05,K,383,K,14.3,K,72.7, ,57.3, ,63.6,K,87,K,56,K,72,K,53.1,K,3.1,K,68.2,K
99,Santa Monica,Los Angeles Basin,Nov 2024,2.98, ,0.16, ,311,K,8.4, ,69.9, ,51.5, ,59.5, ,73, ,33, ,50, ,38.5, ,3.6,K,60.6, 
99,Santa Monica,Los Angeles Basin,Dec 2024,1.93,K,0.04, ,238, ,9.6, ,65.8,K,49.8,K,56.4,K,82, ,45, ,66,L,42.7,L,2.7, ,58.4, 
99,Santa Monica,Los Angeles Basin,Jan 2025,2.82, ,1.11, ,288, ,6.8,K,65.9, ,48.1, ,56.3, ,66, ,33, ,47,K,31.9,K,4.0,K,58.3, 
99,Santa Monica,Los Angeles Basin,Feb 2025,2.56,K,4.39,K,352,K,11.3, ,65.1,K,49.7, ,56.5,K,89, ,53, ,73,K,47.4,K,3.6, ,60.1, 
103,Windsor,North Coast Valleys,Jan 2024,1.10, ,9.40,K,161, ,11.2, ,60.8,K,41.5, ,50.1, ,100, ,69, ,89, ,47.0, ,2.5, ,55.1,K
103,Windsor,North Coast Valleys,Feb 2024,1.56, ,9.58, ,229, ,10.6, ,61.1, ,40.6, ,49.6, ,100, ,65, ,87, ,45.9, ,2.8,K,56.5,K
103,Windsor,North Coast Valleys,Mar 2024,2.94, ,4.77, ,343, ,10.4, ,63.6, ,41.3, ,51.4,K,99, ,59, ,81,K,45.2,K,3.3,K,59.8,K
103,Windsor,North Coast Valleys,Apr 2024,4.51,K,0.85, ,493, ,11.0, ,70.6,K,42.8, ,55.4, ,98, ,48, ,73, ,46.7, ,3.3, ,66.0,K
103,Windsor,North Coast Valleys,May 2024,6.23,K,0.71,K,622,K,11.6,K,76.4, ,46.1,K,60.4,K,96,K,43,K,66,K,48.1,K,3.7,K,72.1,K
103,Windsor,North Coast Valleys,Jun 2024,7.02,K,0.00, ,667, ,13.5,K,84.6, ,49.0,K,65.7,K,97,K,39,K,63,K,52.3,K,3.5,K,77.7,K
103,Windsor,North Coast Valleys,Jul 2024,7.06,K,0.02, ,644, ,15.5,K,88.0,K,52.8, ,67.8,K,99,K,41,K,69,L,56.3,L,3.2, ,80.7,K
103,Windsor,North Coast Valleys,Aug 2024,6.06, ,0.01, ,567, ,14.7, ,85.4, ,50.3, ,65.4, ,100, ,39, ,69, ,54.8, ,3.1, ,78.1, 
103,Windsor,North Coast Valleys,Sep 2024,4.64, ,0.01,K,467,K,14.0,K,83.9, ,48.6, ,63.0,K,100,K,41,K,72, ,53.5, ,2.8,K,72.8,K
103,Windsor,North Coast Valleys,Oct 2024,3.56,K,0.41, ,341, ,11.9,K,84.0,K,44.5, ,61.4,K,97, ,34, ,66,L,47.8,L,2.2, ,65.8, 
103,Windsor,North Coast Valleys,Nov 2024,1.58, ,14.39, ,204, ,9.9,K,65.1, ,37.7,K,50.3, ,99, ,52, ,79,K,43.4,K,2.3, ,54.5, 
103,Windsor,North Coast Valleys,Dec 2024,1.08,K,8.56, ,157, ,10.9,K,61.6,K,39.9,K,49.2,K,100, ,69, ,90,K,46.4,K,2.1, ,52.6,K
103,Windsor,North Coast Valleys,Jan 2025,1.77,K,1.17, ,219, ,8.1, ,63.5,K,34.3, ,47.0,K,99, ,49, ,75,K,38.4,K,2.3, ,50.5, 
103,Windsor,North Coast Valleys,Feb 2025,1.64, ,10.05, ,239, ,10.3,K,63.1,K,38.9,K,49.9, ,100, ,59, ,83,K,44.8,K,2.7, ,53.6, 
104,De Laveaga,Monterey Bay,Jan 2024,1.38,K,10.22,K,177, ,11.1, ,60.2,K,43.9, ,51.1,K,97, ,65, ,86,K,46.8,K,2.6,K,52.7, 
104,De Laveaga,Monterey Bay,Feb 2024,1.99, ,7.56, ,248, ,10.7, ,60.9, ,43.4,K,51.0, ,97, ,63, ,84, ,46.1, ,3.0,K,54.1, 
104,De Laveaga,Monterey Bay,Mar 2024,3.60,K,6.31,K,384,K,10.4,K,62.5, ,44.2, ,52.3,K,96,K,55,K,79,K,45.3,K,3.0,K,57.7,K
104,De Laveaga,Monterey Bay,Apr 2024,4.47,K,1.61,K,504, ,10.8, ,66.2,K,44.6, ,54.0,K,96, ,52, ,76,K,46.4,K,3.1,K,62.0, 
104,De Laveaga,Monterey Bay,May 2024,5.29,K,0.94,K,597,K,11.8,K,67.1, ,46.9, ,55.4,K,97,K,57,K,79, ,48.7, ,2.7,K,69.4,K
104,De Laveaga,Monterey Bay,Jun 2024,5.81,K,0.02, ,644, ,13.0, ,72.9, ,50.1, ,59.2, ,97, ,51, ,76, ,51.4, ,2.4,K,76.8, 
104,De Laveaga,Monterey Bay,Jul 2024,5.76,K,0.02, ,639, ,14.9, ,74.4, ,53.5, ,61.3, ,98, ,56, ,80, ,55.2, ,2.2,K,80.7, 
104,De Laveaga,Monterey Bay,Aug 2024,5.52,K,0.05,K,593,K,14.4, ,78.1,K,52.9, ,62.5, ,97, ,48, ,75, ,54.3, ,2.3,K,80.0, 
104,De Laveaga,Monterey Bay,Sep 2024,3.96,K,0.09,K,449,K,14.3,K,75.6,K,52.5, ,61.0,K,98,K,53,K,79, ,54.1, ,2.2,K,75.3,K
104,De Laveaga,Monterey Bay,Oct 2024,3.60,K,0.20,K,371,K,11.6,K,76.6,K,50.6,K,60.8,K,88,K,39,K,64,K,47.3,K,2.5,K,69.6,K
104,De Laveaga,Monterey Bay,Nov 2024,1.89,K,2.19,K,234, ,9.2,K,64.8, ,43.1,K,52.6, ,87, ,45, ,68,K,41.5,K,2.7,K,56.8, 
104,De Laveaga,Monterey Bay,Dec 2024,1.42,K,3.60,K,186,K,10.7,K,63.6,K,44.3,K,52.4,K,93, ,58, ,79,K,45.4,K,2.6,K,53.6,K
104,De Laveaga,Monterey Bay,Jan 2025,2.09,K,0.53, ,246, ,7.6, ,62.4, ,39.0, ,49.4,K,86, ,43, ,64,K,36.7,K,2.9,K,50.6, 
104,De Laveaga,Monterey Bay,Feb 2025,2.03,K,7.75,K,257, ,10.3, ,62.8,K,42.4, ,51.4, ,96, ,55, ,79, ,44.7, ,2.8,K,53.1, 
105,Westlands,San Joaquin Valley,Jan 2024,1.29,K,1.11,K,171, ,10.4, ,59.3,K,40.9,K,49.6,K,97, ,66, ,85,K,45.0,K,3.6,K,52.7, 
105,Westlands,San Joaquin Valley,Feb 2024,2.04, ,2.57, ,275, ,10.3, ,62.7, ,40.2, ,50.8,K,96, ,59, ,81,K,45.2,K,4.5,K,53.8, 
105,Westlands,San Joaquin Valley,Mar 2024,3.82, ,1.16,K,416,K,9.9,K,68.5, ,40.4, ,53.9,K,93,K,43,K,70, ,44.0, ,4.7,K,57.1,K
105,Westlands,San Joaquin Valley,Apr 2024,5.76, ,0.96, ,541, ,10.3,K,76.0,K,44.2,K,60.3,K,86, ,35, ,58,K,44.9,K,5.4, ,62.5, 
105,Westlands,San Joaquin Valley,May 2024,8.67, ,0.07,K,675,K,9.5,K,86.2, ,51.1,K,70.0,K,67,K,23,K,39,K,42.9,K,6.6,K,71.9,K
105,Westlands,San Joaquin Valley,Jun 2024,9.26, ,0.00, ,649,K,11.3, ,96.7, ,61.3,K,80.3,K,54, ,20, ,32,K,47.3,K,6.1,K,84.0, 
105,Westlands,San Joaquin Valley,Jul 2024,9.84,K,0.00, ,641, ,13.7, ,104.8,K,67.2,K,86.6,K,54, ,18, ,32,K,52.8,K,5.6, ,91.9, 
105,Westlands,San Joaquin Valley,Aug 2024,8.63, ,0.00, ,586,K,12.4, ,98.6,K,63.5,K,81.3, ,58, ,20, ,35, ,50.1, ,5.7, ,90.2, 
105,Westlands,San Joaquin Valley,Sep 2024,6.59, ,0.02,K,486,K,11.6,K,94.7,K,58.7, ,76.5,K,61,K,22,K,38, ,48.3, ,5.1,K,85.2,K
105,Westlands,San Joaquin Valley,Oct 2024,5.10,K,0.00, ,377,K,9.4,K,86.9,K,51.8,K,69.0,K,57, ,24, ,39,K,41.8,K,5.0,K,76.8,K
105,Westlands,San Joaquin Valley,Nov 2024,2.49, ,0.97, ,245, ,7.8, ,66.3,K,37.7, ,51.5, ,81, ,42, ,61, ,37.2, ,4.8,K,60.5, 
105,Westlands,San Joaquin Valley,Dec 2024,1.15, ,0.82, ,159, ,9.8, ,60.3, ,37.5, ,48.1, ,96, ,64, ,85, ,43.7, ,4.0,K,53.6, 
105,Westlands,San Joaquin Valley,Jan 2025,1.89, ,0.13, ,227, ,7.0, ,61.6, ,30.1, ,44.7, ,89, ,45, ,69, ,35.0, ,3.9,K,48.4, 
105,Westlands,San Joaquin Valley,Feb 2025,2.78, ,0.27, ,291, ,8.6, ,67.7,K,38.0, ,52.8,K,85, ,40, ,63,K,40.0,K,5.9,K,50.8, 
106,Sanel Valley,North Coast Valleys,Jan 2024,1.08, ,8.48,K,150, ,10.5, ,59.7,K,40.5, ,49.1,K,98, ,66, ,87,K,45.3,K,3.1,K,51.1,K
106,Sanel Valley,North Coast Valleys,Feb 2024,1.56, ,8.77, ,218, ,9.5, ,60.6, ,38.7, ,48.2, ,97, ,59, ,82, ,43.0, ,3.6,K,52.1, 
106,Sanel Valley,North Coast Valleys,Mar 2024,2.82,K,6.15,K,329,K,9.2,K,63.0, ,38.0, ,49.4,K,96,K,54,K,77, ,42.2, ,3.5,K,53.9,K
106,Sanel Valley,North Coast Valleys,Apr 2024,4.60,K,1.21, ,488, ,10.0, ,71.5, ,38.8,K,54.1,K,96, ,44, ,70,K,44.3,K,3.6, ,58.6, 
106,Sanel Valley,North Coast Valleys,May 2024,6.86, ,0.90,K,645,K,11.0,K,81.1, ,41.3, ,61.1,K,95,K,35,K,60, ,46.6, ,3.7,K,65.6,K
106,Sanel Valley,North Coast Valleys,Jun 2024,7.93, ,0.00, ,672, ,12.6, ,90.8,K,47.4, ,69.4,K,90, ,28, ,51,K,50.3,K,4.1, ,73.2, 
106,Sanel Valley,North Coast Valleys,Jul 2024,8.34,K,0.00, ,659, ,14.8,K,97.9,K,53.1, ,75.1,K,89, ,27, ,50,K,54.9,K,3.8, ,74.2, 
106,Sanel Valley,North Coast Valleys,Aug 2024,6.99, ,0.02, ,574, ,13.2, ,91.3,K,48.5,K,69.7,K,92, ,28, ,54,K,51.9,K,3.7, ,69.4, 
106,Sanel Valley,North Coast Valleys,Sep 2024,5.42, ,0.21,K,482,K,12.1,K,91.3, ,45.5, ,66.9,K,93,K,27,K,54, ,49.3, ,3.3,K,66.0,K
106,Sanel Valley,North Coast Valleys,Oct 2024,3.84, ,0.72, ,343, ,10.0,K,84.6,K,40.8, ,60.5,K,88, ,29, ,57,K,43.9,K,3.0, ,61.7, 
106,Sanel Valley,North Coast Valleys,Nov 2024,1.50, ,12.80,K,196, ,9.1,K,63.2, ,35.4,K,47.8, ,98, ,50, ,79,K,41.1,K,3.2,K,53.1, 
106,Sanel Valley,North Coast Valleys,Dec 2024,1.11, ,9.02,K,155, ,10.0,K,61.7,K,38.5, ,48.2,K,98, ,61, ,86,K,44.1,K,3.0, ,51.1,K
106,Sanel Valley,North Coast Valleys,Jan 2025,1.60, ,0.96, ,220, ,7.6, ,64.1,K,30.9, ,43.7, ,97, ,44, ,77, ,36.7, ,2.6, ,47.8, 
106,Sanel Valley,North Coast Valleys,Feb 2025,1.63, ,9.35,K,231, ,9.3,K,62.3,K,36.4,K,47.9,K,98, ,54, ,80,K,41.8,K,3.3,K,50.6, 
107,Santa Barbara,Central Coast Valleys,Jan 2024,1.92,K,2.51, ,260, ,8.7, ,64.8, ,46.3, ,54.7, ,75, ,40, ,59, ,39.9, ,1.5, ,56.1, 
107,Santa Barbara,Central Coast Valleys,Feb 2024,1.98,K,12.60, ,288, ,9.9, ,63.1, ,46.5, ,54.0, ,85, ,50, ,69, ,43.6, ,1.5, ,57.4, 
107,Santa Barbara,Central Coast Valleys,Mar 2024,3.46,K,5.65, ,427, ,9.8,K,65.1, ,46.8, ,55.1, ,85, ,47, ,66,K,43.6,K,1.7, ,60.3, 
107,Santa Barbara,Central Coast Valleys,Apr 2024,3.94,K,1.22,K,485, ,10.4, ,66.2, ,48.1,K,56.9, ,88, ,48, ,66, ,45.0, ,1.6,K,63.3, 
107,Santa Barbara,Central Coast Valleys,May 2024,3.30,K,0.07,K,416,K,12.9,K,64.9, ,50.8, ,57.2,K,97,K,62,K,81,K,50.9,K,1.5,K,65.8,K
107,Santa Barbara,Central Coast Valleys,Jun 2024,4.80,K,0.02,K,547, ,13.8,K,71.9,K,55.4,L,62.4, ,95,K,38,K,74,L,53.7,L,1.5,K,70.6, 
107,Santa Barbara,Central Coast Valleys,Jul 2024,5.90,K,0.02,K,644, ,16.6, ,75.3, ,57.2,L,64.3,K,95,K,63,K,81, ,58.3, ,1.5,K,75.8, 
107,Santa Barbara,Central Coast Valleys,Aug 2024,5.66,K,0.43, ,598, ,16.9, ,77.6, ,57.5, ,66.2, ,94, ,57, ,77, ,58.7, ,1.5,K,76.4, 
107,Santa Barbara,Central Coast Valleys,Sep 2024,3.82,K,0.28,K,442,K,16.6,K,76.1,K,57.5, ,64.8,K,93,K,61,K,79,K,58.0,K,1.5,K,73.8,K
107,Santa Barbara,Central Coast Valleys,Oct 2024,3.04,K,0.25,K,358, ,14.5, ,74.6, ,54.8, ,62.5, ,91, ,54, ,75, ,53.7, ,1.4, ,71.0, 
107,Santa Barbara,Central Coast Valleys,Nov 2024,2.11,K,0.42, ,287, ,9.0, ,68.4, ,46.2, ,56.2, ,78, ,40, ,59, ,40.9, ,1.3, ,61.3, 
107,Santa Barbara,Central Coast Valleys,Dec 2024,1.64,K,0.17, ,231, ,10.0, ,66.7,K,44.9, ,54.1,K,88, ,50, ,71,K,43.9,K,1.3, ,57.2, 
107,Santa Barbara,Central Coast Valleys,Jan 2025,2.28,K,0.35,K,287,K,7.0,K,65.9, ,42.6,K,53.4, ,71, ,35, ,52,K,34.3,K,2.0, ,55.4, 
107,Santa Barbara,Central Coast Valleys,Feb 2025,2.48, ,3.84, ,331,K,10.6, ,67.0,K,46.3, ,55.8,K,91,K,49,K,71,K,45.9,K,2.8, ,57.8, 
113,King City-Oasis Rd.,Monterey Bay,Jan 2024,1.74,K,1.76, ,214, ,10.0, ,62.5,K,39.3, ,49.7,K,95, ,56, ,81,K,43.9,K,4.0, ,52.4, 
113,King City-Oasis Rd.,Monterey Bay,Feb 2024,2.23,K,4.70, ,292, ,10.2, ,62.8, ,40.4,K,50.3, ,96, ,57, ,82, ,44.8, ,4.2,K,52.3, 
113,King City-Oasis Rd.,Monterey Bay,Mar 2024,3.95,K,1.32,K,431,K,9.8,K,67.1, ,40.0, ,52.0,K,95,K,49,K,75, ,44.0, ,4.8,K,53.6,K
113,King City-Oasis Rd.,Monterey Bay,Apr 2024,5.37,K,0.94,K,565,K,10.7, ,72.8, ,41.7, ,55.2, ,95, ,45, ,72, ,46.1, ,5.3, ,55.9, 
113,King City-Oasis Rd.,Monterey Bay,May 2024,7.14,K,0.27,K,651,K,10.8,K,80.2, ,43.0, ,58.8,K,95,K,33,K,64, ,46.3, ,5.5,K,60.1,K
113,King City-Oasis Rd.,Monterey Bay,Jun 2024,8.05,K,0.00, ,679, ,12.0,K,89.1,K,47.8, ,65.2,K,92, ,28, ,57,K,49.2,K,5.8, ,66.0, 
113,King City-Oasis Rd.,Monterey Bay,Jul 2024,8.51,K,0.01, ,663, ,13.9, ,95.5,K,52.1, ,69.7,K,94, ,27, ,57,K,53.4,K,5.3, ,71.3, 
113,King City-Oasis Rd.,Monterey Bay,Aug 2024,7.67,K,0.01, ,615,K,13.3, ,91.8,K,50.7, ,67.8,K,93, ,27, ,58,L,52.0,L,5.5,K,72.2, 
113,King City-Oasis Rd.,Monterey Bay,Sep 2024,5.60,K,0.43,K,491,K,13.2,K,90.1,K,49.8, ,65.3,K,95,K,30,K,63, ,51.8, ,4.2,K,70.3,K
113,King City-Oasis Rd.,Monterey Bay,Oct 2024,4.68,K,0.02,K,388,K,10.6,K,87.3,K,46.1,K,62.4,L,87,K,25,K,56,L,45.1,L,4.2,K,66.2,K
113,King City-Oasis Rd.,Monterey Bay,Nov 2024,2.44, ,1.19, ,256, ,8.3,K,68.2, ,36.3, ,51.0, ,90, ,38, ,65,K,38.8,K,4.2,K,58.2, 
113,King City-Oasis Rd.,Monterey Bay,Dec 2024,1.89, ,0.55, ,224,K,9.5,K,67.9,K,37.9,K,50.5,K,95, ,46, ,75,K,42.5,K,3.5, ,52.8, 
113,King City-Oasis Rd.,Monterey Bay,Jan 2025,2.28, ,0.16, ,268, ,6.8, ,66.5,K,31.4, ,46.0, ,92, ,32, ,64, ,34.1, ,3.6, ,49.2, 
113,King City-Oasis Rd.,Monterey Bay,Feb 2025,2.60, ,2.21, ,322,K,9.7, ,66.8,K,38.5,K,51.1, ,96, ,47, ,75, ,43.3, ,5.0,K,50.9, 
114,Arroyo Seco,Monterey Bay,Jan 2024,1.78, ,1.91, ,210, ,11.4,K,66.1,K,43.5, ,52.8,K,99, ,58, ,83,K,47.6,K,4.5,K,52.1, 
114,Arroyo Seco,Monterey Bay,Feb 2024,2.22, ,3.93, ,275, ,11.7,K,65.7,L,44.6,K,53.5, ,100, ,57, ,84,K,48.7,K,4.9,K,53.5, 
114,Arroyo Seco,Monterey Bay,Mar 2024,4.08,K,1.67, ,411, ,11.9, ,72.5,K,45.1,K,56.5, ,98, ,49, ,77, ,49.0, ,5.6, ,57.3, 
114,Arroyo Seco,Monterey Bay,Apr 2024,5.52, ,1.02,K,563,K,12.0,K,73.8,K,46.7, ,58.0,K,96, ,48, ,73,K,49.2,K,6.2, ,61.3, 
114,Arroyo Seco,Monterey Bay,May 2024,6.58,K,0.07,K,634,K,11.2,K,73.4, ,45.4, ,57.3,K,92,K,45,K,70, ,47.4, ,7.1,K,64.1,K
114,Arroyo Seco,Monterey Bay,Jun 2024,7.27, ,0.00, ,666, ,12.9,K,78.6, ,49.9,K,61.6, ,91, ,46, ,69,K,51.2,K,7.7, ,66.2, 
114,Arroyo Seco,Monterey Bay,Jul 2024,7.47,K,0.00, ,654, ,15.2, ,82.8,K,53.0,K,64.7,K,95, ,47, ,73,K,55.7,K,6.5, ,68.9, 
114,Arroyo Seco,Monterey Bay,Aug 2024,6.75,K,0.00, ,592, ,14.6,K,80.7, ,51.6, ,64.1, ,94, ,47, ,72,K,54.6,K,6.4, ,68.9, 
114,Arroyo Seco,Monterey Bay,Sep 2024,5.16, ,0.00,K,485,K,14.3,K,81.2,K,51.1, ,62.9,K,95,K,47,K,74, ,54.1, ,5.5,K,66.4,K
114,Arroyo Seco,Monterey Bay,Oct 2024,4.18,K,0.00,K,364,K,11.8,K,81.1,K,46.5,K,60.2,L,91,K,37,K,67,L,47.6,L,4.7,K,63.2,K
114,Arroyo Seco,Monterey Bay,Nov 2024,2.36, ,1.14, ,254, ,8.8,K,67.0, ,38.0, ,51.2, ,92, ,41, ,68,K,40.5,K,4.3,K,54.1,K
114,Arroyo Seco,Monterey Bay,Dec 2024,1.81, ,0.56, ,206, ,9.8,K,67.0,K,39.5,K,51.1,K,95, ,49, ,76,K,43.4,K,3.9, ,52.8,K
114,Arroyo Seco,Monterey Bay,Jan 2025,2.20, ,0.15, ,246, ,7.0, ,64.9, ,33.1, ,46.3, ,90, ,36, ,66, ,35.0, ,4.1, ,49.8, 
114,Arroyo Seco,Monterey Bay,Feb 2025,2.52,K,1.52, ,297, ,9.8, ,65.9,K,40.2, ,51.5, ,95, ,48, ,75, ,43.7, ,5.6,K,52.8, 
116,Salinas North,Monterey Bay,Jan 2024,,N,3.68, ,199, ,11.3, ,60.7,K,44.2, ,51.4,K,96, ,69, ,86,K,47.4,K,5.9,K,53.0,K
116,Salinas North,Monterey Bay,Feb 2024,,N,4.01, ,287, ,11.2, ,61.8, ,44.0, ,51.6, ,97, ,65, ,86, ,47.4, ,6.2,K,53.4, 
116,Salinas North,Monterey Bay,Mar 2024,,N,3.13, ,401,K,11.3, ,62.6, ,44.7, ,52.7, ,96, ,65, ,83, ,47.6, ,5.3, ,54.8, 
116,Salinas North,Monterey Bay,Apr 2024,,N,1.11, ,518, ,11.7, ,63.9, ,45.8, ,53.7, ,96, ,66, ,83, ,48.5, ,5.3,K,61.5, 
116,Salinas North,Monterey Bay,May 2024,,N,0.71,K,562,K,12.3,K,62.7, ,47.3, ,54.2,K,97,K,71,K,86, ,49.9, ,6.1,K,65.0,K
116,Salinas North,Monterey Bay,Jun 2024,,N,0.70,K,600, ,13.3, ,64.9, ,50.4, ,56.4, ,97, ,72, ,86, ,52.2, ,6.7, ,67.3, 
116,Salinas North,Monterey Bay,Jul 2024,,N,1.00,K,588, ,15.3, ,67.9,K,53.4, ,59.2, ,99, ,75, ,89, ,56.0, ,6.5,K,70.2, 
116,Salinas North,Monterey Bay,Aug 2024,,N,0.00, ,566, ,15.2, ,68.8, ,52.7, ,59.9, ,99, ,71, ,87, ,55.8, ,6.4,K,71.7, 
116,Salinas North,Monterey Bay,Sep 2024,,N,0.13,K,426,K,15.4,K,69.5, ,53.1, ,59.5,K,99,K,71,K,89, ,56.1, ,5.7,K,70.5,K
116,Salinas North,Monterey Bay,Oct 2024,,N,0.05,K,368,K,13.1,K,72.8,K,48.2, ,58.8,K,96,K,54,K,77,K,51.0,K,5.4,K,67.2,K
116,Salinas North,Monterey Bay,Nov 2024,,N,2.40, ,256, ,9.9,K,65.0, ,42.3, ,52.4, ,92, ,52, ,74,K,43.7,K,6.4,K,57.4, 
116,Salinas North,Monterey Bay,Dec 2024,,N,2.34, ,200, ,11.1,K,64.1, ,43.8,K,52.3,K,97, ,60, ,82,K,46.8,K,6.2,K,54.4,K
116,Salinas North,Monterey Bay,Jan 2025,,N,0.18, ,248, ,8.3, ,62.3, ,38.3, ,48.4, ,92, ,47, ,72, ,39.4, ,5.4, ,51.4, 
116,Salinas North,Monterey Bay,Feb 2025,,N,3.11, ,293, ,10.9, ,63.2,K,42.4, ,51.7, ,98, ,59, ,82, ,46.4, ,7.0,K,53.4, 
117,Victorville,San Bernardino,Jan 2024,2.35, ,0.56, ,270, ,6.2, ,60.4, ,35.0,K,47.3, ,82, ,33, ,55, ,31.4, ,5.1, ,46.1, 
117,Victorville,San Bernardino,Feb 2024,2.64, ,3.89, ,327, ,7.3,K,58.8, ,39.3,K,48.5, ,86, ,41, ,63,K,35.9,K,6.0,K,48.3, 
117,Victorville,San Bernardino,Mar 2024,4.47, ,1.23,K,453, ,7.1, ,62.1, ,40.9, ,51.0, ,81, ,35, ,56, ,35.5, ,7.5,K,52.3, 
117,Victorville,San Bernardino,Apr 2024,6.50, ,0.17, ,632,K,7.3, ,72.0, ,43.6, ,58.0,K,78, ,24, ,45,K,36.1,K,6.6, ,56.2, 
117,Victorville,San Bernardino,May 2024,8.38, ,0.00,K,705,K,8.0,K,82.0, ,49.9, ,66.0,K,69,K,17,K,37, ,38.2, ,7.0,K,62.0,K
