Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc.1,Avg Sol Rad (Ly/day),qc.2,Avg Vap Pres (mBars),qc.3,Avg Max Air Temp (F),qc.4,Avg Min Air Temp (F),qc.5,Avg Air Temp (F),qc.6,Avg Max Rel Hum (%),qc.7,Avg Min Rel Hum (%),qc.8,Avg Rel Hum (%),qc.9,Avg Dew Point (F),qc.10,Avg Wind Speed (mph),qc.11,Avg Soil Temp (F),qc.12,Year
75,Irvine,South Coast Valleys,Jun 2017,5.47, ,0.0, ,543.0, ,17.5,K,79.8,K,57.5, ,67.4,K,99.0, ,54.0, ,77.0,K,59.5,K,3.8,K,71.2, ,2017
75,Irvine,South Coast Valleys,Jul 2017,6.25,K,0.0,L,588.0,L,19.2,L,87.3,L,62.0,L,73.8,L,97.0,L,45.0,L,68.0,L,62.3,L,3.6,L,74.2,L,2017
75,Irvine,South Coast Valleys,Aug 2017,6.18,K,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,2017
75,Irvine,South Coast Valleys,Sep 2017,4.48,K,0.0,L,373.0,L,14.8,L,79.7,L,54.4,L,67.1,L,94.0,L,44.0,L,66.0,L,54.4,L,3.6,L,69.7,L,2017
75,Irvine,South Coast Valleys,Oct 2017,3.44,K,0.0, ,301.0, ,13.4, ,83.4,K,54.2,L,67.3,L,89.0,K,39.0,K,64.0,L,53.1,L,3.8,K,66.9, ,2017
75,Irvine,South Coast Valleys,Nov 2017,1.85,K,0.06, ,204.0, ,13.2, ,75.3,K,49.7,K,61.8,K,96.0, ,47.0, ,71.0,K,51.6,K,2.7, ,62.8, ,2017
75,Irvine,South Coast Valleys,Dec 2017,3.23,K,0.0, ,229.0, ,6.3,K,74.1,K,45.8,K,59.6,K,63.0,K,23.0,K,42.0,L,31.0,L,4.3,K,55.0, ,2017
75,Irvine,South Coast Valleys,Jan 2018,2.38,K,1.49, ,231.0, ,9.8,K,72.7,K,46.0,K,58.3,L,85.0,K,36.0,K,62.0,L,43.2,L,3.2,K,55.9, ,2018
75,Irvine,South Coast Valleys,Feb 2018,3.14, ,0.44, ,338.0, ,7.4,K,69.2, ,43.1,K,55.9, ,79.0, ,28.0, ,49.0,K,35.5,K,3.8, ,55.5, ,2018
75,Irvine,South Coast Valleys,Mar 2018,3.7,K,0.86, ,378.0, ,8.3,K,68.3, ,47.2, ,57.5, ,75.0,K,34.0,K,64.0,L,43.4,L,3.8, ,58.1, ,2018
75,Irvine,South Coast Valleys,Apr 2018,4.81,K,0.0,K,491.0,K,6.1,K,74.2,K,50.3, ,61.3,K,49.0,K,21.0,K,56.0,L,43.9,L,2.1,K,63.6,K,2018
75,Irvine,South Coast Valleys,May 2018,3.78, ,0.02, ,433.0, ,13.3, ,71.3, ,53.3, ,61.6, ,90.0, ,53.0, ,71.0, ,51.9, ,1.1,K,64.9, ,2018
75,Irvine,South Coast Valleys,Jun 2018,6.28,K,0.0,K,653.0,K,15.8,K,78.4,K,58.6, ,67.2,K,89.0,K,51.0,K,69.0,K,56.8,K,3.7,K,71.0,K,2018
75,Irvine,South Coast Valleys,Jul 2018,7.39,K,0.0, ,662.0,K,19.5,K,86.7,L,66.1,K,74.8,L,89.0,K,45.0,K,69.0,L,63.6,L,4.2,K,79.7, ,2018
75,Irvine,South Coast Valleys,Aug 2018,6.84, ,0.0, ,613.0,K,19.8,K,86.3,K,64.8, ,74.6,K,91.0, ,48.0, ,68.0,K,63.1,K,3.8,K,79.2, ,2018
75,Irvine,South Coast Valleys,Sep 2018,5.22, ,0.0, ,536.0,K,18.1, ,81.9, ,60.3, ,69.6, ,93.0, ,52.0, ,73.0, ,60.5, ,3.7,K,75.3, ,2018
75,Irvine,South Coast Valleys,Oct 2018,4.05, ,1.31,K,408.0,K,14.3,K,78.3, ,56.8, ,66.6, ,89.0, ,44.0, ,65.0,K,52.8,K,3.4,K,68.9, ,2018
75,Irvine,South Coast Valleys,Nov 2018,3.18, ,1.54,K,327.0,K,9.8,K,75.6, ,50.6, ,62.9, ,74.0, ,34.0, ,52.0,K,40.5,K,3.5,K,61.0, ,2018
75,Irvine,South Coast Valleys,Dec 2018,2.06, ,1.59,K,258.0,K,10.3, ,67.4, ,47.1, ,55.9, ,88.0, ,43.0, ,68.0, ,44.3, ,3.1, ,56.5, ,2018
75,Irvine,South Coast Valleys,Jan 2019,2.3, ,4.1,K,265.0,K,9.7,K,67.4,K,46.8, ,56.7,K,83.0, ,43.0, ,62.0,K,41.4,K,3.6,K,54.1, ,2019
75,Irvine,South Coast Valleys,Feb 2019,2.31, ,6.67, ,334.0,K,9.2, ,61.4, ,42.2,K,51.4, ,91.0, ,47.0, ,70.0, ,41.6, ,3.6,K,53.8, ,2019
75,Irvine,South Coast Valleys,Mar 2019,4.1, ,1.51, ,456.0,K,10.7,K,68.6, ,48.6, ,58.0, ,86.0, ,47.0, ,67.0,K,45.3,K,3.7,K,58.9, ,2019
75,Irvine,South Coast Valleys,Apr 2019,4.93, ,0.16, ,540.0,K,12.4, ,72.6,K,52.4, ,61.5,K,88.0, ,48.0, ,67.0,K,49.8,K,3.8,K,64.7, ,2019
75,Irvine,South Coast Valleys,May 2019,4.84, ,0.95, ,522.0,K,13.2, ,69.2,K,54.0, ,60.8, ,89.0, ,55.0, ,73.0, ,51.9, ,4.1,K,66.7, ,2019
75,Irvine,South Coast Valleys,Jun 2019,4.67,K,0.51, ,502.0,K,16.6, ,74.9,L,59.2, ,65.9,K,94.0,K,60.0,K,77.0,L,58.3,L,3.8, ,71.2, ,2019
75,Irvine,South Coast Valleys,Jul 2019,7.13,K,0.24,K,679.0,K,18.0, ,82.5,K,62.4, ,71.1,K,89.0, ,51.0, ,70.0,K,60.5,K,4.1,K,75.2, ,2019
75,Irvine,South Coast Valleys,Aug 2019,6.89, ,0.06,K,649.0,K,18.6, ,84.3, ,61.1, ,71.5, ,96.0, ,48.0, ,71.0, ,61.4, ,3.8,K,75.4, ,2019
75,Irvine,South Coast Valleys,Sep 2019,5.17, ,0.07, ,513.0,K,18.0, ,83.8, ,60.0, ,71.2, ,96.0, ,46.0, ,69.0, ,60.3, ,3.6,K,73.8, ,2019
